,max,min,mean,std
/B01,255.0,0.0,134.72078370571597,43.31844638840431
/B02,255.0,0.0,138.0873878826046,36.88335725690544
/B05,255.0,3.0,165.43627659367175,38.48864168934018
/B07,255.0,8.0,186.95624191479857,36.199546691587024
/B20,255.0,0.0,128.06168902645229,42.40812800880473
